u_2,u_3,u_6,P_g2_mw,P_g3_mw,P_g6_mw,P_s8_mw,P_load_total_mw,label,critical_real,critical_imag,slack_power_mw
0,1,1,0.0,18.16960542435432,31.350876934777897,94.17978344655202,277.4354869635129,1,0.34936482002893743,3.0565402884023913,139.59510228611208
0,1,1,0.0,26.120703847301318,35.40092482423482,37.228041067011034,251.66677519831683,0,-0.19971454893945612,0.0,158.8906557180427
0,1,1,0.0,16.866603732129267,35.59175221755767,92.42810013997067,288.7367117013125,1,0.15643184983854758,3.2150865645460764,150.47167152346006
0,1,1,0.0,19.23859714221812,31.012928424418224,92.99807784835251,202.2714890949565,1,0.2145521508650881,2.650213688709175,60.77908075737086
0,1,1,0.0,18.491551649299765,39.10278723617838,92.17709501712015,223.57733374233226,1,0.1100829438514139,2.8286819379156016,76.15100179304939
0,1,1,0.0,16.851164519662262,39.74058562962743,52.40346947628085,279.0211822034811,0,-0.19941737749876232,0.0,177.66513824910098
0,1,1,0.0,14.376860385475288,31.4113675143953,93.4144474872202,310.7765383339575,1,0.3517912939313239,3.320509073176184,180.75273246963383
0,1,1,0.0,17.50722146537723,31.16344371534773,95.23283671535596,220.69254999559473,1,0.4417163179199869,2.621159317227709,79.31869867342533
0,1,1,0.0,17.81396482111356,30.127214491950006,95.48508061606701,200.74529166114303,1,0.4729748259409924,2.454834476226322,59.125391642984006
0,1,1,0.0,28.23002382630811,43.23511196581689,50.786956824462656,201.15968836155366,0,-0.19959623776322108,0.0,80.77300189933868
0,1,1,0.0,11.391185132085601,32.84534392923963,92.20956702807084,208.0246386415094,1,0.13980491304340423,2.7358209488737373,73.78524931586934
0,1,1,0.0,11.301050162752546,34.64797014512623,93.4260397173707,257.72462442057724,1,0.261924341299274,2.9876174995909923,123.1103214860883
0,1,1,0.0,12.808788646323382,30.339110485235317,93.32444064622673,280.3203541082826,1,0.2856653351292245,3.139580564917129,150.43799775592137
0,1,1,0.0,20.233526404688497,38.09096866852913,75.49743804678982,233.54476194443038,0,-0.1988542316206911,0.0,102.73040737461885
0,1,1,0.0,18.871241319494533,39.18068505948526,93.24211855269023,277.7410415175532,1,0.21547688173391644,3.0967624783869048,131.83177550508364
